hts_8digit,hts_10digit,chapter_99_code,duty_rate,list_name,effective_start,effective_end,source_doc
84194000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84195010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84195050,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84196050,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84198960,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84199010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84199020,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84199030,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84199050,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84199085,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84199095,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84201090,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84209110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84209120,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84209190,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84209920,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84209990,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84211900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84212100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84212200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84212900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84213200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84213901,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84219160,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84219901,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84221900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84222000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84223011,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84223091,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84224011,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84224091,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84229006,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84229091,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84232010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84232090,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84233000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84238200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84238910,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84238990,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84239010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84239090,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84248910,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84249020,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84251100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84253901,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84264100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84264900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84269900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84271040,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84271080,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84272040,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84272080,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84282000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84283100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84283200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84283300,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84283900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84287000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84289003,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84291100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84291900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84292000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84293000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84294000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84295110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84295150,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84295210,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84295250,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84295910,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84295950,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84301000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84303100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84303900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84304100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84304980,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84305050,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84306100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84306901,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84311000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84312000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84313100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84313900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84314100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84314200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84314340,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84314380,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84314910,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84314990,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84321000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84322100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84328000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84329000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84332000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84333000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84334000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84335100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84335200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84335300,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84335900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84336000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84339050,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84342000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84349000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84361000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84362100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84362900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84368000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84369100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84369900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84371000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84378000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84379000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84385000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84386000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84388000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84389090,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84391000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84392000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84393000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84399110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84399190,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84399910,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84399950,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84412000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84413000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84414000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84418000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84419000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84423001,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84424000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84431110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84431150,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84431200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84431300,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84431400,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84431700,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84431930,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84439110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84439920,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84439945,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84440000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84541000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84543000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84549000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84551000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84552100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84552200,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84553000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84559080,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84561110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84561170,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84561190,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84561210,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84561270,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84561290,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84562010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84562050,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84563010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84563050,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84564010,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84564090,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84565000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84569031,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84569071,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84571000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84572000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84573000,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84581100,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84581900,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84589110,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84589150,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84589910,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
84589950,,9903.88.01,0.25,list_1,2018-07-06,,USITC Chapter 99 currentRelease 951d37a5f944
