hts_8digit,chapter_99_code,duty_rate,effective_start,effective_end,list_name,source,role
02032940,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
02041000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02042100,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02042220,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02042240,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02042320,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02042340,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02043000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02044100,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02044220,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02044240,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02044320,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02044340,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02045000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02050000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02061000,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
02062100,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02062200,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02062900,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02063000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02064100,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02064900,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02068000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02069000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02071100,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02071200,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02071300,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02071400,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02072400,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02072520,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02072540,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02072600,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02072700,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02074100,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02074200,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02074300,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02074400,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02074500,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02075100,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02075200,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02075300,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02075400,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02075500,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02076010,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02076020,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02076030,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02076040,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02076060,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02081000,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
02083000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02084001,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02085000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02086000,9903.88.15,0.075,2020-02-14,,list_4A,FR-2019-08-20_2019-17865_List4A_4B_notice.pdf,impose
02089020,9903.88.03,0.25,2019-05-10,,list_3,FR-2018-09-21_2018-20610_List3_initial.pdf + FR-2018-09-28_2018-21303_List3_conforming_amendment.pdf,impose
